smiles,QED,SA,logP,LipinskiCount
CCC1(NN2CC[C@H](c3cc(Cl)c(C)cn3)OC2)CC1,0.9253953432469194,4.0756806794976095,3.211520000000001,5
C1=C2CCC[C@@H]3[C@H]4C[C@@H](Cc5ccccc5)NC(=N1)[C@@]234,0.8704991791813517,4.8207219492375915,3.303300000000001,5
N#CCC[C@H](CN1CC[C@@H](N2CCCC2)C1=O)C(=O)O,0.772859608740116,3.5469062140142684,0.6876800000000003,5
C[C@H]1N=CC[C@H](N[C@H]2CCN3C=CC=CC3C2)C(=O)N1,0.7828508474495394,5.084182750997277,0.7977999999999996,5
C=C(C)N1CC[C@@H](CNC(=O)C2CCCCC2)C[C@@H]1C,0.8553492970825949,3.2339707744538266,3.317000000000002,5
CC[C@]1(CCC[C@@H]2CCc3nccn3C2)CCCCO1,0.8135018096478089,3.924603895146694,3.965100000000003,5
C1CC[C@@H](CN2CCC([C@H]3CCN4C[C@H]4C3)CC2)SC1,0.7385603591561811,3.869772724472078,3.0783000000000014,5
CC1(C)C[C@@H]2N[C@@H]2C[C@@H](c2cnc3c(c2)CCCC3)N1,0.7715518633329341,4.2368153059304205,2.5039000000000007,5
CC(C)[C@@H]1CC[C@H]([C@@H]2CCN(C(C)C)[C@H](C(=O)O)O2)C1,0.8615057951061125,4.118392211651566,2.968700000000001,5
CC[C@@H]1CCN(C(=O)N(C)CCCN2CCCCC2)C1,0.7743585521940394,2.670681214488935,2.6461000000000015,5
CCc1cccc(C=C2CC[C@@]3(C[C@@H]3C)C(C)(C)C2)c1,0.6290691882342486,4.0568301141044545,5.868700000000006,4
C[C@H]1[C@@H](O)[C@@H](C=O)CN1[C@H]1C[C@@]12C=Nc1ccccc12,0.8239905334734702,5.277783755505963,1.2927,5
C[C@H]1C[C@H](NNc2ccccc2)CC[C@@H]1NC(C)(C)C,0.7355176069083584,3.500085673493892,3.5484000000000018,5
NN(O)c1ccc(O[C@H]2CCCC([C@@H]3CN3)C2)c(O)c1,0.37714777835814756,3.9166620471202647,1.3709,5
CC[C@](C)(c1ccccc1)c1cc(C(=O)NC)ncn1,0.9276919177719515,2.941611448728377,2.552200000000001,5
CC(C)C[C@H]1CC[C@@H](N2CCc3occc3C2)C[C@@H]1C,0.8079002049787418,3.8659810465418953,4.488600000000004,5
C#CN[C@@H]1CCC2=CC(Oc3ccccc3)=NC[C@@H]2O1,0.6594822558034902,4.4092310137907615,2.0892999999999997,5
O=C1N[C@H](Cc2cccnc2)CCN1c1ccccc1,0.9287583787183282,2.6822334686576017,2.6126000000000005,5
CC1CN2C(C[C@H]3[C@@H]([C@H]4Cc5ccccc54)[C@H]3[C@@H]2C)N1,0.8420258756508918,4.7073610824200705,2.600500000000001,5
CN(C)[C@H]1CC[C@H]([C@@H]2NC[C@@H]3[C@H](CCCN3O)N2)CC1,0.7008897183367008,4.227725176096551,0.8479000000000023,5
Cc1nc(C)n2c1C[C@H](CCN(C)c1ccccc1)C2,0.8496299008741826,3.1859160323027,3.1987400000000017,5
CC(C)N(C)[C@@H]1C[C@@H]2C[C@H](C3=CN(C)CC=C3)CN2C1,0.7814667699942356,4.470879080087297,2.1749,5
CCCNNc1cc2c(cn1)N1CCCC[C@]1(CC)O2,0.6394907704298856,3.92726926418878,2.897100000000001,5
CCN(C)Cc1ccnc(C(=O)N2CCC(C)CC2)c1,0.8464031206759263,2.1896149712156134,2.4054,5
CC(C)(C)c1ccc(NNC(=O)c2ccccc2)cc1,0.8325328440096631,1.6881418942925368,3.7410000000000014,5
Cc1c(F)cc(N[C@H]2CC[C@@H]3[C@@H]2CC=C[C@H]3N)cc1F,0.8140104204644129,4.037087999197354,3.3671200000000017,5
Cc1ccc(NC2=NCN=C3C([C@@H]2N)[C@@H](C)[C@H]3C)cc1,0.8230298516697873,4.365375361834717,2.4468199999999998,5
C1=CN=C(N[C@H]2CCO[C@H]3[C@H](CC[C@@H]4CCC[C@@H]43)C2)C1,0.7959558749917637,4.544072911307252,3.2658000000000014,5
Cc1ccc2ccc(NCCN3CCC[C@@H]3C)cc2c1,0.8998175235959798,2.467906134215305,4.044420000000003,5
Cc1cccc(CCNCC(=O)CN[C@@]2(C)C[C@H]2S)c1,0.5049356620088574,3.5802945956326484,1.7466199999999998,5
N[C@H]1CC=C(C[C@@H]2[C@H]3C[C@@]23N2CCCC2)C[C@@H]1C(=O)O,0.7655992411903879,4.807847486206038,1.6091000000000002,5
CC1=N[C@@H](C)C(=O)N(C)C1c1ccc2ccccc2c1,0.7798152847706835,3.2693996206076736,3.202300000000002,5
CCCN1CCN2[C@H](CC(=O)[C@@H]3CCCCC3=O)[C@H]2C1,0.5640838603259393,3.93150179329799,1.4833,5
Cc1cccc(O[C@@H]2C[C@@H]3CN(C(C)C)C(=O)[C@H]3C2)c1,0.8469460582460296,3.4987208383290564,3.0192200000000016,5
Cc1ccc(CCNC(O)(O)[C@H]2CCN(C#N)C2)cc1,0.5406095115770398,3.456319965211895,0.5684999999999998,5
CC(C)NCCN1C[C@@H](n2ccc(O)cc2=O)C[C@H]1C,0.8498076186620196,3.537361448779502,1.1872,5
CC1(C)CCN2c3sc(NCCCCF)nc3C[C@@H]2C1,0.8366229847673035,3.7508658298735487,3.855800000000003,5
CC1=CCN(C[C@H](O)c2cn(C3CCC3)nn2)CCC1,0.855499136797224,3.431381619347234,2.0786,5
C=C[C@]12c3cnc(C#CC)cc3O[C@@H]1CC[C@@H]1O[C@@]12C,0.445448972175481,5.094695315565196,2.589100000000001,5
NC[C@H]1C=CCN=C([C@H]2C[C@@H]3CCCC[C@H]3O2)NC1=O,0.739082117990122,4.830946146222741,0.9935,5
c1ccc([C@H]2Cc3cc4c(cc32)[C@H]2CCC[C@H]2N4)cc1,0.8001005803517006,3.467015783384001,4.436200000000004,5
C[C@H](CN)[C@@H](C)CNCc1ccnc(N2CCCC2)c1,0.7996325812017283,3.117423767513399,2.002300000000001,5
C=C1C[C@@H](CCc2cccc(CC)c2)CCN1C(C)C,0.742156968836649,2.996640020156951,4.815700000000005,5
CC(C)Nc1ccc(N2CCCCC[C@H](CO)C2)nn1,0.8845611228754638,2.7899743318978416,2.2858,5
C[C@@H]1C=C[C@H]([C@@H]2[C@H]3CC[C@]45CC[C@H](CC[C@H]4N23)C5)CC1,0.5049088198231443,6.164760870922066,4.384200000000004,5
Cc1cc([C@H]2CN[C@H](C3CCCC3)C2)c(C)c(F)c1C,0.8439483604250746,3.5582279173109708,4.3866600000000044,5
COC1=N[C@@H]2[C@@H](N=CCN3CC=C(C)CC3)[C@H]2OCC1,0.576753697428454,4.899031486301773,1.2938000000000003,5
Cc1ccc(F)c(NCCC2=N[C@H](C)C(C)CCN2)c1,0.8851561530520906,3.5975930272010803,3.352520000000002,5
C[C@@H]1NCC[C@H]1C[C@]1(C)CC2=Nc3ccccc3[C@H]2C1,0.8596386166121719,4.530735270891177,4.044500000000003,5
O=C1CNc2cc(-c3ccncc3)ccc21,0.7851759221887938,2.345948475348333,2.3568,5
C[C@]1(CNCCCOc2ccccc2)CCC[C@@H]2C[C@@H]21,0.7614379917256102,3.3031952097203776,3.871400000000003,5
C[C@@H]1C(=O)CC=N[C@H]1C1=C[C@@H](c2cc(F)ccn2)N=N1,0.8301831236763556,4.956198050590478,2.6598000000000006,5
CC1=CC=Cc2nc([C@]34N[C@@]35CCC=CC[C@@H]45)[nH]c2C1,0.6057345641545856,5.636301931226436,2.8325000000000005,5
C[C@H]1C=C2N[C@@H](CCC3CCCCC3)C(=O)C2=CCN1,0.8311471461270616,4.197801458425029,2.689800000000001,5
Cn1oc2cc(C3CNC(C[C@H]4CCNN4)=N3)ccc21,0.7824255370986343,4.8851913788494326,1.0706999999999995,5
Cc1cc(O)c2c(c1)C[C@@]2(C)CCN1CN(C)CC1C,0.9171781825021731,4.113467183045236,2.4979200000000006,5
