set,idx,ECFP4,FCFP4
PRISM,0,0.15384615384615385,0.19117647058823528
PRISM,1,0.08571428571428572,0.07894736842105263
PRISM,2,0.08490566037735849,0.09195402298850575
PRISM,3,0.0784313725490196,0.14666666666666667
PRISM,4,0.0784313725490196,0.16216216216216217
PRISM,5,0.061224489795918366,0.11764705882352941
PRISM,6,0.1111111111111111,0.16901408450704225
PRISM,7,0.09183673469387756,0.12121212121212122
PRISM,8,0.07692307692307693,0.2028985507246377
PRISM,9,0.09473684210526316,0.1388888888888889
PRISM,10,0.0673076923076923,0.125
PRISM,11,0.0970873786407767,0.1282051282051282
PRISM,12,0.12121212121212122,0.14473684210526316
PRISM,13,0.09278350515463918,0.14864864864864866
PRISM,14,0.11956521739130435,0.15584415584415584
PRISM,15,0.15789473684210525,0.2714285714285714
PRISM,16,0.047619047619047616,0.06756756756756757
PRISM,17,0.1111111111111111,0.19047619047619047
PRISM,18,0.10784313725490197,0.29850746268656714
PRISM,19,0.09782608695652174,0.14492753623188406
PRISM,20,0.09278350515463918,0.125
PRISM,21,0.07766990291262135,0.05333333333333334
PRISM,22,0.10784313725490197,0.2191780821917808
PRISM,23,0.09574468085106383,0.19117647058823528
PRISM,24,0.061855670103092786,0.1
PRISM,25,0.11,0.234375
PRISM,26,0.1276595744680851,0.16417910447761194
PRISM,27,0.19767441860465115,0.3770491803278688
PRISM,28,0.11578947368421053,0.2
PRISM,29,0.06818181818181818,0.16176470588235295
PRISM,30,0.07476635514018691,0.12987012987012986
PRISM,31,0.06363636363636363,0.10714285714285714
PRISM,32,0.14893617021276595,0.2112676056338028
PRISM,33,0.08333333333333333,0.16176470588235295
PRISM,34,0.0660377358490566,0.13333333333333333
PRISM,35,0.12631578947368421,0.25
PRISM,36,0.05504587155963303,0.02631578947368421
PRISM,37,0.07692307692307693,0.07042253521126761
PRISM,38,0.10891089108910891,0.16901408450704225
PRISM,39,0.0673076923076923,0.056338028169014086
PRISM,40,0.10204081632653061,0.14285714285714285
PRISM,41,0.1,0.1643835616438356
PRISM,42,0.0970873786407767,0.1282051282051282
PRISM,43,0.13829787234042554,0.18840579710144928
PRISM,44,0.09183673469387756,0.17142857142857143
PRISM,45,0.13131313131313133,0.14492753623188406
PRISM,46,0.0970873786407767,0.12658227848101267
PRISM,47,0.07142857142857142,0.15492957746478872
PRISM,48,0.13402061855670103,0.1917808219178082
PRISM,49,0.10784313725490197,0.2054794520547945
PRISM,50,0.10679611650485436,0.11392405063291139
PRISM,51,0.15463917525773196,0.22727272727272727
PRISM,52,0.08641975308641975,0.029411764705882353
PRISM,53,0.10784313725490197,0.14285714285714285
PRISM,54,0.09900990099009901,0.1232876712328767
PRISM,55,0.12643678160919541,0.1746031746031746
PRISM,56,0.13333333333333333,0.21052631578947367
